csd_code,municipality,region,year,bedroom_type,avg_monthly_rent,quality_flag,quality_level,yoy_change_pct,rent_in_2025_dollars,rent_index_2015_100
3518009,Whitby,Durham,2002,1 Bedroom,786.0,a,Excellent,7.7,1318.0,81.6
3518009,Whitby,Durham,2002,2 Bedroom,894.0,a,Excellent,3.7,1499.0,83.9
3518009,Whitby,Durham,2002,3 Bedroom,982.0,a,Excellent,3.2,1647.0,85.2
3518009,Whitby,Durham,2002,Studio,663.0,c,Good,19.9,1112.0,77.0
3518009,Whitby,Durham,2002,Total,855.0,a,Excellent,6.6,1434.0,83.8
3518009,Whitby,Durham,2003,1 Bedroom,825.0,a,Excellent,5.0,1342.0,85.7
3518009,Whitby,Durham,2003,2 Bedroom,903.0,a,Excellent,1.0,1469.0,84.7
3518009,Whitby,Durham,2003,3 Bedroom,1012.0,a,Excellent,3.1,1647.0,87.8
3518009,Whitby,Durham,2003,Studio,628.0,a,Excellent,-5.3,1022.0,72.9
3518009,Whitby,Durham,2003,Total,884.0,a,Excellent,3.4,1438.0,86.7
