csd_code,year,population
3519028,2023,344807
3524001,2023,232240
3519038,2023,213922
3524002,2023,196632
3518013,2023,196721
3518009,2023,154633
3524009,2023,147740
3518005,2023,135711
3518017,2023,111648
3518001,2023,109143
3519048,2023,92877
3521024,2023,86049
3524015,2023,67779
3519046,2023,66159
3519044,2023,54868
3519070,2023,51593
3519054,2023,39979
3519049,2023,28916
3518020,2023,23522
3518029,2023,22546
3518039,2023,13640
3520005,2024,3280417
3521005,2024,781304
3521010,2024,783581
3519036,2024,368764
3519028,2024,354570
3524001,2024,238878
3519038,2024,219336
3524002,2024,199089
3518013,2024,207851
3518009,2024,158758
3524009,2024,152528
3518005,2024,138900
3518017,2024,113530
3518001,2024,113576
3519048,2024,95430
3521024,2024,89879
3524015,2024,68491
3519046,2024,67618
3519044,2024,57304
3519070,2024,53258
3519054,2024,42247
3519049,2024,29281
3518020,2024,23745
3518029,2024,22718
3518039,2024,13779
3520005,2025,3271830
3521005,2025,764597
3521010,2025,777759
3519036,2025,371504
3519028,2025,358535
3524001,2025,243107
3519038,2025,222031
3524002,2025,197737
3518013,2025,213592
3518009,2025,162413
3524009,2025,157345
3518005,2025,141111
3518017,2025,114180
3518001,2025,118378
3519048,2025,95763
3521024,2025,90201
3524015,2025,68265
3519046,2025,67385
3519044,2025,58010
3519070,2025,53630
3519054,2025,42989
3519049,2025,29077
3518020,2025,23928
3518029,2025,22618
3518039,2025,13710
