csd_code,municipality,region,year,survey_month,bedroom_type,vacancy_rate_pct,quality_flag,quality_level
3518009,Whitby,Durham,2006,October,Total,3.2,c,Good
3518009,Whitby,Durham,2007,October,1 Bedroom,2.9,a,Excellent
3518009,Whitby,Durham,2007,October,2 Bedroom,4.2,b,Very good
3518009,Whitby,Durham,2007,October,3 Bedroom,6.4,b,Very good
3518009,Whitby,Durham,2007,October,Studio,0.0,c,Good
3518009,Whitby,Durham,2007,October,Total,3.8,b,Very good
3518009,Whitby,Durham,2008,October,1 Bedroom,1.5,a,Excellent
3518009,Whitby,Durham,2008,October,2 Bedroom,4.0,a,Excellent
3518009,Whitby,Durham,2008,October,3 Bedroom,0.0,c,Good
3518009,Whitby,Durham,2008,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2008,October,Total,2.5,a,Excellent
3518009,Whitby,Durham,2009,October,1 Bedroom,2.5,b,Very good
3518009,Whitby,Durham,2009,October,2 Bedroom,1.3,a,Excellent
3518009,Whitby,Durham,2009,October,3 Bedroom,2.4,b,Very good
3518009,Whitby,Durham,2009,October,Total,1.9,b,Very good
3518009,Whitby,Durham,2010,October,1 Bedroom,3.1,c,Good
3518009,Whitby,Durham,2010,October,2 Bedroom,0.6,a,Excellent
3518009,Whitby,Durham,2010,October,3 Bedroom,1.1,a,Excellent
3518009,Whitby,Durham,2010,October,Studio,0.0,c,Good
3518009,Whitby,Durham,2010,October,Total,1.5,a,Excellent
3518009,Whitby,Durham,2011,October,1 Bedroom,0.7,b,Very good
3518009,Whitby,Durham,2011,October,2 Bedroom,1.0,a,Excellent
3518009,Whitby,Durham,2011,October,3 Bedroom,0.7,a,Excellent
3518009,Whitby,Durham,2011,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2011,October,Total,0.8,a,Excellent
3518009,Whitby,Durham,2012,October,1 Bedroom,0.6,a,Excellent
3518009,Whitby,Durham,2012,October,2 Bedroom,0.6,a,Excellent
3518009,Whitby,Durham,2012,October,3 Bedroom,2.3,c,Good
3518009,Whitby,Durham,2012,October,Total,0.8,a,Excellent
3518009,Whitby,Durham,2013,October,1 Bedroom,2.6,b,Very good
3518009,Whitby,Durham,2013,October,2 Bedroom,1.7,b,Very good
3518009,Whitby,Durham,2013,October,3 Bedroom,1.6,c,Good
3518009,Whitby,Durham,2013,October,Total,2.0,a,Excellent
3518009,Whitby,Durham,2014,October,1 Bedroom,1.2,a,Excellent
3518009,Whitby,Durham,2014,October,2 Bedroom,1.7,b,Very good
3518009,Whitby,Durham,2014,October,3 Bedroom,1.8,c,Good
3518009,Whitby,Durham,2014,October,Studio,0.0,c,Good
3518009,Whitby,Durham,2014,October,Total,1.5,a,Excellent
3518009,Whitby,Durham,2015,October,1 Bedroom,0.8,a,Excellent
3518009,Whitby,Durham,2015,October,2 Bedroom,1.9,b,Very good
3518009,Whitby,Durham,2015,October,3 Bedroom,0.4,a,Excellent
3518009,Whitby,Durham,2015,October,Studio,1.8,c,Good
3518009,Whitby,Durham,2015,October,Total,1.4,a,Excellent
3518009,Whitby,Durham,2016,October,1 Bedroom,0.8,d,Poor (use with caution)
3518009,Whitby,Durham,2016,October,2 Bedroom,1.2,d,Poor (use with caution)
3518009,Whitby,Durham,2016,October,Total,1.1,a,Excellent
3518009,Whitby,Durham,2017,October,1 Bedroom,1.3,a,Excellent
3518009,Whitby,Durham,2017,October,2 Bedroom,1.3,a,Excellent
3518009,Whitby,Durham,2017,October,3 Bedroom,1.6,c,Good
3518009,Whitby,Durham,2017,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2017,October,Total,1.3,a,Excellent
3518009,Whitby,Durham,2018,October,1 Bedroom,2.1,c,Good
3518009,Whitby,Durham,2018,October,2 Bedroom,1.1,a,Excellent
3518009,Whitby,Durham,2018,October,3 Bedroom,1.1,a,Excellent
3518009,Whitby,Durham,2018,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2018,October,Total,1.4,a,Excellent
3518009,Whitby,Durham,2019,October,1 Bedroom,2.4,c,Good
3518009,Whitby,Durham,2019,October,2 Bedroom,1.0,a,Excellent
3518009,Whitby,Durham,2019,October,3 Bedroom,0.4,a,Excellent
3518009,Whitby,Durham,2019,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2019,October,Total,1.4,a,Excellent
3518009,Whitby,Durham,2020,October,1 Bedroom,1.3,a,Excellent
3518009,Whitby,Durham,2020,October,2 Bedroom,1.8,b,Very good
3518009,Whitby,Durham,2020,October,Total,1.8,b,Very good
3518009,Whitby,Durham,2021,October,1 Bedroom,1.9,c,Good
3518009,Whitby,Durham,2021,October,3 Bedroom,1.1,a,Excellent
3518009,Whitby,Durham,2021,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2021,October,Total,1.8,c,Good
3518009,Whitby,Durham,2022,October,1 Bedroom,1.5,a,Excellent
3518009,Whitby,Durham,2022,October,2 Bedroom,1.1,a,Excellent
3518009,Whitby,Durham,2022,October,3 Bedroom,0.9,a,Excellent
3518009,Whitby,Durham,2022,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2022,October,Total,1.2,a,Excellent
3518009,Whitby,Durham,2023,October,1 Bedroom,2.9,c,Good
3518009,Whitby,Durham,2023,October,2 Bedroom,1.5,a,Excellent
3518009,Whitby,Durham,2023,October,3 Bedroom,0.4,a,Excellent
3518009,Whitby,Durham,2023,October,Total,1.7,c,Good
3518009,Whitby,Durham,2024,October,2 Bedroom,3.7,d,Poor (use with caution)
3518009,Whitby,Durham,2024,October,3 Bedroom,3.1,d,Poor (use with caution)
3518009,Whitby,Durham,2024,October,Total,3.6,d,Poor (use with caution)
3518009,Whitby,Durham,2025,October,1 Bedroom,3.8,d,Poor (use with caution)
3518009,Whitby,Durham,2025,October,2 Bedroom,2.4,c,Good
3518009,Whitby,Durham,2025,October,3 Bedroom,1.5,d,Poor (use with caution)
3518009,Whitby,Durham,2025,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2025,October,Total,2.5,c,Good
3518013,Oshawa,Durham,1990,October,1 Bedroom,2.3,a,Excellent
3518013,Oshawa,Durham,1990,October,2 Bedroom,1.4,a,Excellent
3518013,Oshawa,Durham,1990,October,3 Bedroom,3.7,a,Excellent
3518013,Oshawa,Durham,1990,October,Studio,6.7,c,Good
3518013,Oshawa,Durham,1990,October,Total,2.3,a,Excellent
3518013,Oshawa,Durham,1991,October,1 Bedroom,3.0,a,Excellent
3518013,Oshawa,Durham,1991,October,2 Bedroom,3.4,b,Very good
3518013,Oshawa,Durham,1991,October,3 Bedroom,3.0,a,Excellent
3518013,Oshawa,Durham,1991,October,Total,3.3,a,Excellent
3518013,Oshawa,Durham,1992,October,1 Bedroom,6.5,b,Very good
3518013,Oshawa,Durham,1992,October,2 Bedroom,3.9,b,Very good
3518013,Oshawa,Durham,1992,October,3 Bedroom,3.1,a,Excellent
3518013,Oshawa,Durham,1992,October,Total,4.5,a,Excellent
3518013,Oshawa,Durham,1993,October,1 Bedroom,4.0,b,Very good
3518013,Oshawa,Durham,1993,October,2 Bedroom,3.8,b,Very good
3518013,Oshawa,Durham,1993,October,3 Bedroom,3.2,a,Excellent
3518013,Oshawa,Durham,1993,October,Studio,6.4,c,Good
3518013,Oshawa,Durham,1993,October,Total,3.8,a,Excellent
3518013,Oshawa,Durham,1994,October,1 Bedroom,3.7,b,Very good
3518013,Oshawa,Durham,1994,October,2 Bedroom,2.9,a,Excellent
3518013,Oshawa,Durham,1994,October,3 Bedroom,2.4,a,Excellent
3518013,Oshawa,Durham,1994,October,Studio,8.0,c,Good
3518013,Oshawa,Durham,1994,October,Total,3.1,b,Very good
