REF_DATE,GEO,DGUID,Residence on or off reserve (3),Household type including census family structure (9),Statistics (3C),Shelter-cost-to-income ratio (5),Coordinate,Tenure including presence of mortgage payments and subsidized housing (8):Total - Tenure including presence of mortgage payments and subsidized housing[1],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Owner[2],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):With mortgage[3],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Without mortgage[4],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Renter[5],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Subsidized housing[6],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Not subsidized housing[7],Symbol,"Tenure including presence of mortgage payments and subsidized housing (8):Dwelling provided by the local government, First Nation or Indian band[8]",Symbol
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,30% to less than 100%,1.1.6.2.4,418874,,304282,,297493,,6581,,113260,,5261,,107750,,251,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,Not applicable,1.1.6.2.5,5596,,1713,,1238,,421,,3768,,95,,3648,,4,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.6.3.1,3758106,,3044710,,2386216,,662326,,700236,,55391,,645629,,16149,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,1.1.6.3.2,3296912,,2714946,,2065078,,653605,,568413,,49182,,519934,,15794,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,1.1.6.3.3,458611,,330484,,322012,,8697,,128832,,6382,,122681,,372,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,30% to less than 100%,1.1.6.3.4,423640,,308865,,301933,,7151,,115562,,5791,,110032,,312,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,Not applicable,1.1.6.3.5,6147,,1998,,1462,,605,,4257,,178,,4116,,27,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Number of private households,Total - Shelter-cost-to-income ratio,1.1.7.1.1,1293035,,697155,,464920,,232235,,581775,,109780,,471995,,14100,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Number of private households,Spending less than 30% of income on shelter costs,1.1.7.1.2,951855,,544185,,324630,,219550,,394695,,91395,,303300,,12980,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Number of private households,Spending 30% or more of income on shelter costs,1.1.7.1.3,337370,,151485,,139280,,12205,,184855,,18185,,166670,,1035,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Number of private households,30% to less than 100%,1.1.7.1.4,303330,,132915,,122545,,10370,,169620,,17095,,152525,,800,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Number of private households,Not applicable,1.1.7.1.5,3805,,1490,,1010,,485,,2225,,195,,2020,,90,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.7.2.1,1287922,,693691,,462259,,230429,,578991,,108938,,469273,,13948,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,1.1.7.2.2,947709,,541280,,322306,,217785,,392572,,90634,,301300,,12838,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,1.1.7.2.3,334955,,150157,,137962,,11874,,183122,,17723,,165038,,976,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,30% to less than 100%,1.1.7.2.4,300956,,131376,,121067,,10000,,167968,,16663,,151005,,751,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,Not applicable,1.1.7.2.5,3540,,1336,,886,,402,,2049,,158,,1854,,80,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.7.3.1,1298168,,700637,,467596,,234055,,584572,,110629,,474732,,14254,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,1.1.7.3.2,956019,,547106,,326971,,221329,,396829,,92162,,305313,,13123,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,1.1.7.3.3,339803,,152825,,140610,,12546,,186605,,18660,,168318,,1098,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,30% to less than 100%,1.1.7.3.4,305723,,134472,,124041,,10754,,171288,,17539,,154060,,853,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,Not applicable,1.1.7.3.5,4090,,1662,,1151,,586,,2416,,240,,2201,,101,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Other census family households,Number of private households,Total - Shelter-cost-to-income ratio,1.1.8.1.1,980805,,731530,,547500,,184035,,233135,,18295,,214835,,16140,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Other census family households,Number of private households,Spending less than 30% of income on shelter costs,1.1.8.1.2,865280,,651420,,469465,,181955,,198065,,16555,,181510,,15795,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Other census family households,Number of private households,Spending 30% or more of income on shelter costs,1.1.8.1.3,114995,,79805,,77855,,1945,,34865,,1735,,33130,,325,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Other census family households,Number of private households,30% to less than 100%,1.1.8.1.4,108945,,75690,,73960,,1725,,32975,,1635,,31345,,280,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Other census family households,Number of private households,Not applicable,1.1.8.1.5,535,,310,,175,,135,,205,,0,,195,,20,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Other census family households,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.8.2.1,977927,,728694,,545163,,182564,,231531,,17813,,213272,,15978,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Other census family households,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,1.1.8.2.2,862595,,648676,,467199,,180525,,196574,,16063,,180080,,15623,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Other census family households,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,1.1.8.2.3,114011,,79045,,77034,,1770,,34289,,1589,,32545,,296,
