REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1993-07,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,87.0,,,,1
1993-07,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,84.1,,,,1
1993-08,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.7,,,,1
1993-08,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,89.0,,,,1
1993-08,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,88.7,,,,1
1993-08,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,88.8,,,,1
1993-08,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,84.8,,,,1
1993-08,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.2,,,,1
1993-08,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,86.2,,,,1
1993-08,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,86.3,,,,1
1993-08,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,84.4,,,,1
1993-08,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.8,,,,1
1993-08,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,84.3,,,,1
1993-09,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.7,,,,1
1993-09,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,89.0,,,,1
1993-09,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,88.8,,,,1
1993-09,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,88.9,,,,1
1993-09,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,84.9,,,,1
1993-09,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.4,,,,1
1993-09,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,86.4,,,,1
1993-09,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,86.5,,,,1
1993-09,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,84.5,,,,1
1993-09,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,87.0,,,,1
1993-09,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,84.5,,,,1
1993-10,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.9,,,,1
1993-10,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,89.4,,,,1
1993-10,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,89.0,,,,1
1993-10,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,89.1,,,,1
1993-10,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,85.1,,,,1
1993-10,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,88.0,,,,1
1993-10,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,86.6,,,,1
1993-10,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,86.7,,,,1
1993-10,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,84.7,,,,1
1993-10,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,87.5,,,,1
1993-10,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,84.7,,,,1
1993-11,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,86.3,,,,1
1993-11,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,89.5,,,,1
1993-11,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,89.2,,,,1
