REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1988,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824631,125.4.2,494,,,,0
1988,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824819,125.4.3,599,,,,0
1988,"Toronto, Ontario",2011S0503535,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825007,125.4.4,749,,,,0
1989,"Brock, Ontario",2011A00053518039,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v53843611,221.3.1,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v53843651,221.3.2,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v53843691,221.3.3,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v53843731,221.3.4,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v53843771,221.2.1,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v53843811,221.2.2,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v53843851,221.2.3,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v53843891,221.2.4,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v53843931,221.1.1,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v53843971,221.1.2,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v53844011,221.1.3,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v53844051,221.1.4,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v53844091,221.4.1,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v53844131,221.4.2,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v53844171,221.4.3,,..,,,0
1989,"Brock, Ontario",2011A00053518039,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v53844211,221.4.4,,..,,,0
1989,"Hamilton, Ontario",2011S0503537,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822818,85.3.1,,..,,,0
1989,"Hamilton, Ontario",2011S0503537,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3822952,85.3.2,,..,,,0
1989,"Hamilton, Ontario",2011S0503537,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823086,85.3.3,,..,,,0
1989,"Hamilton, Ontario",2011S0503537,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823220,85.3.4,,..,,,0
1989,"Hamilton, Ontario",2011S0503537,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823354,85.2.1,,..,,,0
1989,"Hamilton, Ontario",2011S0503537,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823488,85.2.2,,..,,,0
