REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2008,"Whitchurch-Stouffville (T), Ontario",2021A00053519044,Persons,249,units,0,v1592182766,2174,30396,,,,0
2008,"Georgina (T), Ontario",2021A00053519070,Persons,249,units,0,v1592182771,2177,44221,,,,0
2008,"East Gwillimbury (T), Ontario",2021A00053519054,Persons,249,units,0,v1592182770,2187,22122,,,,0
2008,"King (TP), Ontario",2021A00053519049,Persons,249,units,0,v1592182769,2196,20055,,,,0
2008,"Scugog (TP), Ontario",2021A00053518020,Persons,249,units,0,v1592182759,2212,22306,,,,0
2008,"Uxbridge (TP), Ontario",2021A00053518029,Persons,249,units,0,v1592182761,2214,20640,,,,0
2008,"Brock (TP), Ontario",2021A00053518039,Persons,249,units,0,v1592182762,2255,11937,,,,0
2009,Canada,2021A00001124,Persons,249,units,0,v1592180531,1,33630069,,,,0
2009,Ontario,2021A000235,Persons,249,units,0,v1592180537,2130,12998941,,,,0
2009,"Toronto (C), Ontario",2021A00053520005,Persons,249,units,0,v1592182773,2132,2648782,,,,0
2009,"Mississauga (CY), Ontario",2021A00053521005,Persons,249,units,0,v1592182774,2134,723084,,,,0
2009,"Brampton (CY), Ontario",2021A00053521010,Persons,249,units,0,v1592182775,2135,511379,,,,0
2009,"Markham (CY), Ontario",2021A00053519036,Persons,249,units,0,v1592182764,2138,299759,,,,0
2009,"Vaughan (CY), Ontario",2021A00053519028,Persons,249,units,0,v1592182763,2139,279858,,,,0
2009,"Oakville (T), Ontario",2021A00053524001,Persons,249,units,0,v1592182793,2142,183796,,,,0
2009,"Richmond Hill (T), Ontario",2021A00053519038,Persons,249,units,0,v1592182765,2143,185114,,,,0
2009,"Burlington (CY), Ontario",2021A00053524002,Persons,249,units,0,v1592182794,2144,174992,,,,0
2009,"Oshawa (CY), Ontario",2021A00053518013,Persons,249,units,0,v1592182757,2145,149735,,,,0
2009,"Whitby (T), Ontario",2021A00053518009,Persons,249,units,0,v1592182756,2149,122972,,,,0
2009,"Milton (T), Ontario",2021A00053524009,Persons,249,units,0,v1592182795,2152,75615,,,,0
2009,"Ajax (T), Ontario",2021A00053518005,Persons,249,units,0,v1592182755,2154,107182,,,,0
2009,"Clarington (MU), Ontario",2021A00053518017,Persons,249,units,0,v1592182758,2159,84512,,,,0
2009,"Pickering (CY), Ontario",2021A00053518001,Persons,249,units,0,v1592182754,2160,91172,,,,0
2009,"Newmarket (T), Ontario",2021A00053519048,Persons,249,units,0,v1592182768,2162,80273,,,,0
2009,"Caledon (T), Ontario",2021A00053521024,Persons,249,units,0,v1592182776,2165,60265,,,,0
2009,"Halton Hills (T), Ontario",2021A00053524015,Persons,249,units,0,v1592182796,2169,59539,,,,0
2009,"Aurora (T), Ontario",2021A00053519046,Persons,249,units,0,v1592182767,2170,52235,,,,0
2009,"Whitchurch-Stouffville (T), Ontario",2021A00053519044,Persons,249,units,0,v1592182766,2174,32801,,,,0
2009,"Georgina (T), Ontario",2021A00053519070,Persons,249,units,0,v1592182771,2177,44174,,,,0
2009,"East Gwillimbury (T), Ontario",2021A00053519054,Persons,249,units,0,v1592182770,2187,22336,,,,0
2009,"King (TP), Ontario",2021A00053519049,Persons,249,units,0,v1592182769,2196,19995,,,,0
2009,"Scugog (TP), Ontario",2021A00053518020,Persons,249,units,0,v1592182759,2212,22285,,,,0
2009,"Uxbridge (TP), Ontario",2021A00053518029,Persons,249,units,0,v1592182761,2214,20960,,,,0
2009,"Brock (TP), Ontario",2021A00053518039,Persons,249,units,0,v1592182762,2255,11845,,,,0
2010,Canada,2021A00001124,Persons,249,units,0,v1592180531,1,34005902,,,,0
2010,Ontario,2021A000235,Persons,249,units,0,v1592180537,2130,13136481,,,,0
2010,"Toronto (C), Ontario",2021A00053520005,Persons,249,units,0,v1592182773,2132,2674738,,,,0
2010,"Mississauga (CY), Ontario",2021A00053521005,Persons,249,units,0,v1592182774,2134,730640,,,,0
2010,"Brampton (CY), Ontario",2021A00053521010,Persons,249,units,0,v1592182775,2135,526854,,,,0
2010,"Markham (CY), Ontario",2021A00053519036,Persons,249,units,0,v1592182764,2138,306833,,,,0
2010,"Vaughan (CY), Ontario",2021A00053519028,Persons,249,units,0,v1592182763,2139,290582,,,,0
2010,"Oakville (T), Ontario",2021A00053524001,Persons,249,units,0,v1592182793,2142,185996,,,,0
2010,"Richmond Hill (T), Ontario",2021A00053519038,Persons,249,units,0,v1592182765,2143,188397,,,,0
2010,"Burlington (CY), Ontario",2021A00053524002,Persons,249,units,0,v1592182794,2144,178580,,,,0
2010,"Oshawa (CY), Ontario",2021A00053518013,Persons,249,units,0,v1592182757,2145,152387,,,,0
2010,"Whitby (T), Ontario",2021A00053518009,Persons,249,units,0,v1592182756,2149,124545,,,,0
2010,"Milton (T), Ontario",2021A00053524009,Persons,249,units,0,v1592182795,2152,81970,,,,0
2010,"Ajax (T), Ontario",2021A00053518005,Persons,249,units,0,v1592182755,2154,110650,,,,0
2010,"Clarington (MU), Ontario",2021A00053518017,Persons,249,units,0,v1592182758,2159,85798,,,,0
2010,"Pickering (CY), Ontario",2021A00053518001,Persons,249,units,0,v1592182754,2160,91226,,,,0
2010,"Newmarket (T), Ontario",2021A00053519048,Persons,249,units,0,v1592182768,2162,81537,,,,0
2010,"Caledon (T), Ontario",2021A00053521024,Persons,249,units,0,v1592182776,2165,60733,,,,0
2010,"Halton Hills (T), Ontario",2021A00053524015,Persons,249,units,0,v1592182796,2169,60224,,,,0
2010,"Aurora (T), Ontario",2021A00053519046,Persons,249,units,0,v1592182767,2170,53731,,,,0
