csd_code,municipality,region,year,survey_month,bedroom_type,avg_monthly_rent,quality_flag,quality_level,source_table
3519046,Aurora,York,2017,October,Total,1369.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2018,October,1 Bedroom,1127.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2018,October,2 Bedroom,1347.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2018,October,Total,1298.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2019,October,1 Bedroom,1171.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2019,October,2 Bedroom,1371.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2019,October,Total,1338.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2020,October,1 Bedroom,1296.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2020,October,2 Bedroom,1543.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2020,October,Total,1492.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2021,October,1 Bedroom,1326.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2021,October,2 Bedroom,1668.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2021,October,Total,1586.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2022,October,1 Bedroom,1259.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2022,October,2 Bedroom,1559.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2022,October,Total,1499.0,c,Good,rent_history_3519046_aurora
3519046,Aurora,York,2023,October,1 Bedroom,1371.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2023,October,2 Bedroom,1794.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2023,October,3 Bedroom,2065.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2023,October,Total,1695.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2024,October,1 Bedroom,1895.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2024,October,2 Bedroom,2072.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2024,October,3 Bedroom,2255.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2024,October,Total,2035.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2025,October,1 Bedroom,1853.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2025,October,2 Bedroom,2187.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2025,October,3 Bedroom,2960.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2025,October,Total,2191.0,b,Very good,rent_history_3519046_aurora
3521010,Brampton,Peel,1990,October,1 Bedroom,599.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1990,October,2 Bedroom,709.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1990,October,3 Bedroom,824.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1990,October,Studio,409.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1990,October,Total,686.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1991,October,1 Bedroom,633.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1991,October,2 Bedroom,760.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1991,October,3 Bedroom,894.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1991,October,Studio,456.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1991,October,Total,736.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1992,October,1 Bedroom,639.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1992,October,2 Bedroom,802.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1992,October,3 Bedroom,908.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1992,October,Studio,510.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1992,October,Total,767.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1993,October,1 Bedroom,657.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1993,October,2 Bedroom,777.0,a,Excellent,rent_history_3521010_brampton
3521010,Brampton,Peel,1993,October,3 Bedroom,928.0,a,Excellent,rent_history_3521010_brampton
