csd_code,municipality,survey_period,bedroom_type,value,reliability
3521010,Brampton,1998 October,1 Bedroom,0.4,a
3521010,Brampton,1998 October,2 Bedroom,0.3,a
3521010,Brampton,1998 October,3 Bedroom +,0.6,a
3521010,Brampton,1998 October,Total,0.4,a
3521010,Brampton,1999 October,Studio,0.5,a
3521010,Brampton,1999 October,1 Bedroom,0.6,a
3521010,Brampton,1999 October,2 Bedroom,0.8,a
3521010,Brampton,1999 October,3 Bedroom +,0.4,a
3521010,Brampton,1999 October,Total,0.7,a
3521010,Brampton,2000 October,Studio,0.5,b
3521010,Brampton,2000 October,1 Bedroom,0.8,a
3521010,Brampton,2000 October,2 Bedroom,0.7,a
3521010,Brampton,2000 October,3 Bedroom +,0.4,a
3521010,Brampton,2000 October,Total,0.7,a
3521010,Brampton,2001 October,Studio,4.2,d
3521010,Brampton,2001 October,1 Bedroom,1.0,a
3521010,Brampton,2001 October,2 Bedroom,0.8,a
3521010,Brampton,2001 October,3 Bedroom +,0.5,a
3521010,Brampton,2001 October,Total,0.9,a
3521010,Brampton,2002 October,Studio,3.4,d
3521010,Brampton,2002 October,1 Bedroom,2.5,a
3521010,Brampton,2002 October,2 Bedroom,3.3,b
3521010,Brampton,2002 October,3 Bedroom +,5.2,d
3521010,Brampton,2002 October,Total,3.3,b
3521010,Brampton,2003 October,Studio,2.8,c
3521010,Brampton,2003 October,1 Bedroom,2.5,b
3521010,Brampton,2003 October,2 Bedroom,3.1,c
3521010,Brampton,2003 October,3 Bedroom +,2.2,c
3521010,Brampton,2003 October,Total,2.8,a
3521010,Brampton,2004 October,Studio,5.1,b
3521010,Brampton,2004 October,1 Bedroom,3.6,b
3521010,Brampton,2004 October,2 Bedroom,5.0,a
3521010,Brampton,2004 October,3 Bedroom +,3.3,a
3521010,Brampton,2004 October,Total,4.3,a
3521010,Brampton,2005 October,Studio,5.1,c
3521010,Brampton,2005 October,1 Bedroom,3.2,b
3521010,Brampton,2005 October,2 Bedroom,2.4,a
3521010,Brampton,2005 October,3 Bedroom +,5.3,b
3521010,Brampton,2005 October,Total,3.2,a
3521010,Brampton,2006 October,Studio,4.7,d
3521010,Brampton,2006 October,1 Bedroom,2.3,a
3521010,Brampton,2006 October,2 Bedroom,2.7,a
3521010,Brampton,2006 October,3 Bedroom +,2.7,b
3521010,Brampton,2006 October,Total,2.6,a
3521010,Brampton,2007 October,Studio,1.2,d
3521010,Brampton,2007 October,1 Bedroom,1.8,a
3521010,Brampton,2007 October,2 Bedroom,1.9,a
3521010,Brampton,2007 October,3 Bedroom +,3.9,c
3521010,Brampton,2007 October,Total,2.1,a
3521010,Brampton,2008 October,Studio,3.0,d
3521010,Brampton,2008 October,1 Bedroom,4.4,b
3521010,Brampton,2008 October,2 Bedroom,2.0,a
3521010,Brampton,2008 October,3 Bedroom +,4.3,b
3521010,Brampton,2008 October,Total,3.2,a
3521010,Brampton,2009 October,Studio,9.1,b
3521010,Brampton,2009 October,1 Bedroom,2.7,a
3521010,Brampton,2009 October,2 Bedroom,3.5,b
3521010,Brampton,2009 October,3 Bedroom +,5.4,b
3521010,Brampton,2009 October,Total,3.7,a
3521010,Brampton,2010 October,Studio,4.3,c
3521010,Brampton,2010 October,1 Bedroom,2.2,a
3521010,Brampton,2010 October,2 Bedroom,1.5,a
3521010,Brampton,2010 October,3 Bedroom +,2.5,b
3521010,Brampton,2010 October,Total,2.0,a
3521010,Brampton,2011 October,Studio,3.0,d
3521010,Brampton,2011 October,1 Bedroom,1.9,a
3521010,Brampton,2011 October,2 Bedroom,0.9,a
3521010,Brampton,2011 October,3 Bedroom +,2.2,a
3521010,Brampton,2011 October,Total,1.5,a
3521010,Brampton,2012 October,Studio,8.3,c
3521010,Brampton,2012 October,1 Bedroom,2.4,a
3521010,Brampton,2012 October,2 Bedroom,1.5,a
3521010,Brampton,2012 October,3 Bedroom +,3.3,d
3521010,Brampton,2012 October,Total,2.2,a
3521010,Brampton,2013 October,Studio,4.9,d
3521010,Brampton,2013 October,1 Bedroom,2.5,a
3521010,Brampton,2013 October,2 Bedroom,2.0,a
3521010,Brampton,2013 October,3 Bedroom +,3.8,c
3521010,Brampton,2013 October,Total,2.5,a
3521010,Brampton,2014 October,Studio,5.8,d
3521010,Brampton,2014 October,1 Bedroom,1.4,a
3521010,Brampton,2014 October,2 Bedroom,1.9,b
3521010,Brampton,2014 October,3 Bedroom +,1.7,c
3521010,Brampton,2014 October,Total,1.8,b
3521010,Brampton,2015 October,Studio,4.8,d
3521010,Brampton,2015 October,1 Bedroom,1.4,a
3521010,Brampton,2015 October,2 Bedroom,0.9,a
3521010,Brampton,2015 October,3 Bedroom +,1.7,c
3521010,Brampton,2015 October,Total,1.2,a
3521010,Brampton,2016 October,Studio,2.3,c
3521010,Brampton,2016 October,1 Bedroom,1.2,a
3521010,Brampton,2016 October,2 Bedroom,1.2,a
3521010,Brampton,2016 October,3 Bedroom +,1.4,a
3521010,Brampton,2016 October,Total,1.2,a
3521010,Brampton,2017 October,Studio,0.0,c
3521010,Brampton,2017 October,1 Bedroom,1.3,a
3521010,Brampton,2017 October,2 Bedroom,1.3,a
3521010,Brampton,2017 October,3 Bedroom +,1.2,a
3521010,Brampton,2017 October,Total,1.3,a
3521010,Brampton,2018 October,Studio,0.0,c
3521010,Brampton,2018 October,1 Bedroom,1.2,a
3521010,Brampton,2018 October,2 Bedroom,1.2,a
3521010,Brampton,2018 October,3 Bedroom +,0.8,a
3521010,Brampton,2018 October,Total,1.1,a
3521010,Brampton,2019 October,Studio,**,
3521010,Brampton,2019 October,1 Bedroom,1.0,a
3521010,Brampton,2019 October,2 Bedroom,1.3,a
3521010,Brampton,2019 October,3 Bedroom +,1.5,a
3521010,Brampton,2019 October,Total,1.3,a
3521010,Brampton,2020 October,Studio,**,
3521010,Brampton,2020 October,1 Bedroom,2.8,a
3521010,Brampton,2020 October,2 Bedroom,2.4,a
3521010,Brampton,2020 October,3 Bedroom +,1.2,a
3521010,Brampton,2020 October,Total,2.4,a
3521010,Brampton,2021 October,Studio,0.9,d
3521010,Brampton,2021 October,1 Bedroom,2.9,a
3521010,Brampton,2021 October,2 Bedroom,3.2,b
3521010,Brampton,2021 October,3 Bedroom +,3.2,c
3521010,Brampton,2021 October,Total,3.0,b
3521010,Brampton,2022 October,Studio,**,
3521010,Brampton,2022 October,1 Bedroom,1.6,a
3521010,Brampton,2022 October,2 Bedroom,1.8,a
3521010,Brampton,2022 October,3 Bedroom +,1.2,a
3521010,Brampton,2022 October,Total,1.6,a
3521010,Brampton,2023 October,Studio,**,
3521010,Brampton,2023 October,1 Bedroom,1.4,a
3521010,Brampton,2023 October,2 Bedroom,2.1,b
3521010,Brampton,2023 October,3 Bedroom +,1.2,a
3521010,Brampton,2023 October,Total,1.7,b
3521010,Brampton,2024 October,Studio,**,
3521010,Brampton,2024 October,1 Bedroom,2.7,a
3521010,Brampton,2024 October,2 Bedroom,3.3,c
3521010,Brampton,2024 October,3 Bedroom +,0.9,a
3521010,Brampton,2024 October,Total,2.8,a
3521010,Brampton,2025 October,Studio,4.3,d
3521010,Brampton,2025 October,1 Bedroom,4.8,b
3521010,Brampton,2025 October,2 Bedroom,4.6,b
3521010,Brampton,2025 October,3 Bedroom +,1.6,a
3521010,Brampton,2025 October,Total,4.3,b
3521024,Caledon,1990 October,Studio,**,
3521024,Caledon,1990 October,1 Bedroom,**,
3521024,Caledon,1990 October,2 Bedroom,**,
3521024,Caledon,1990 October,3 Bedroom +,**,
3521024,Caledon,1990 October,Total,**,
3521024,Caledon,1991 October,Studio,**,
3521024,Caledon,1991 October,1 Bedroom,**,
3521024,Caledon,1991 October,2 Bedroom,3.1,c
3521024,Caledon,1991 October,3 Bedroom +,**,
3521024,Caledon,1991 October,Total,1.6,c
3521024,Caledon,1992 October,Studio,**,
3521024,Caledon,1992 October,1 Bedroom,**,
3521024,Caledon,1992 October,2 Bedroom,**,
3521024,Caledon,1992 October,3 Bedroom +,**,
3521024,Caledon,1992 October,Total,4.2,a
3521024,Caledon,1993 October,Studio,**,
3521024,Caledon,1993 October,1 Bedroom,**,
