csd_code,municipality,survey_period,bedroom_type,value,reliability
3521010,Brampton,2023 October,2 Bedroom,"1,865",a
3521010,Brampton,2023 October,3 Bedroom +,"2,048",a
3521010,Brampton,2023 October,Total,"1,800",a
3521010,Brampton,2024 October,Studio,"1,348",b
3521010,Brampton,2024 October,1 Bedroom,"1,693",a
3521010,Brampton,2024 October,2 Bedroom,"1,921",a
3521010,Brampton,2024 October,3 Bedroom +,"2,033",a
3521010,Brampton,2024 October,Total,"1,850",a
3521010,Brampton,2025 October,Studio,"1,430",b
3521010,Brampton,2025 October,1 Bedroom,"1,778",a
3521010,Brampton,2025 October,2 Bedroom,"2,025",a
3521010,Brampton,2025 October,3 Bedroom +,"2,056",a
3521010,Brampton,2025 October,Total,"1,935",a
3521024,Caledon,1990 October,Studio,**,
3521024,Caledon,1990 October,1 Bedroom,**,
3521024,Caledon,1990 October,2 Bedroom,**,
3521024,Caledon,1990 October,3 Bedroom +,**,
3521024,Caledon,1990 October,Total,**,
3521024,Caledon,1991 October,Studio,**,
3521024,Caledon,1991 October,1 Bedroom,**,
3521024,Caledon,1991 October,2 Bedroom,580,a
3521024,Caledon,1991 October,3 Bedroom +,**,
3521024,Caledon,1991 October,Total,572,a
3521024,Caledon,1992 October,Studio,**,
3521024,Caledon,1992 October,1 Bedroom,**,
3521024,Caledon,1992 October,2 Bedroom,**,
3521024,Caledon,1992 October,3 Bedroom +,**,
3521024,Caledon,1992 October,Total,**,
3521024,Caledon,1993 October,Studio,**,
3521024,Caledon,1993 October,1 Bedroom,**,
3521024,Caledon,1993 October,2 Bedroom,597,a
3521024,Caledon,1993 October,3 Bedroom +,**,
3521024,Caledon,1993 October,Total,562,a
3521024,Caledon,1994 October,Studio,**,
3521024,Caledon,1994 October,1 Bedroom,559,a
3521024,Caledon,1994 October,2 Bedroom,652,a
3521024,Caledon,1994 October,3 Bedroom +,**,
3521024,Caledon,1994 October,Total,612,a
3521024,Caledon,1995 October,Studio,**,
